Circuit.ieee13nodecktassets {5B816B93-7A5F-B64C-8460-47C17D6E4B0F}
PosPt=Load.634b=1 {E6AD09B9-073C-4B94-BE3D-51087527AF83}
LoadLoc=634c=1 {2944D34F-1AD0-4FFC-B92F-25E390306731}
LoadPhase=634c_C=1 {9A490986-A32B-427B-A43C-C74EB6290006}
59=634c=1 {CCDFF835-7844-4F35-8A53-15CB6970F3A1}
PosPt=Load.634c=1 {EDBDF251-393F-4F6F-920C-E952D95D6FDA}
LoadLoc=645=1 {3B39F08E-61C8-4192-832B-2A86C7EC2DC3}
LoadPhase=645_B=1 {DD197070-A521-4B4E-90E8-61136187B58D}
59=645=1 {DFAD23BA-1945-4200-85AF-AA248A8A16B3}
PosPt=Load.645=1 {D8F20809-7395-4520-A55B-B0466AACE66A}
LoadLoc=646=1 {F5CED723-8F79-463D-B7B5-2292B8912058}
LoadPhase=646_B=1 {E61756DF-5C88-41CB-9F68-69C03301AA24}
59=646=1 {809F49AB-A284-4320-9D80-F46BB9E7F455}
PosPt=Load.646=1 {EF3945BD-E386-44EF-A06A-E60C008DA664}
LoadLoc=692=1 {810E7FA7-C8BC-42D9-B48A-E3F14C7644EE}
LoadPhase=692_C=1 {0148C91B-EFD1-4522-9EA3-B8D6B072E772}
59=692=1 {415BF3EC-8D77-487F-A889-876DC07FA186}
PosPt=Load.692=1 {F1166A38-967E-4162-AECC-F0B4C309CA3C}
LoadLoc=675a=1 {5A9DD368-A5B0-449D-BA08-11FEB4097DB8}
LoadPhase=675a_A=1 {DBCFC9D6-8ACA-43BA-8844-5AFB759169EC}
59=675a=1 {59C5C053-47CA-45FB-A06F-81113E41E633}
PosPt=Load.675a=1 {7553E482-250D-4B66-8929-90CDC02EE0B5}
LoadLoc=675b=1 {97BF6EA5-4134-4651-9236-DB950F8EF5F9}
LoadPhase=675b_B=1 {4E518735-879E-4904-95E3-2BE012CF1691}
59=675b=1 {39705E8F-F7F2-497C-AC7A-075D58902AC1}
PosPt=Load.675b=1 {45A7FD37-F2B6-44B4-A54B-CFBA5FE57D59}
LoadLoc=675c=1 {50A760D0-FD7E-40C2-82F1-725D67F2AF1B}
LoadPhase=675c_C=1 {1AD8764D-5018-47BD-B3CE-E8A5742149F6}
59=675c=1 {77CA8D06-1026-4930-A284-FB89C71FEAFE}
PosPt=Load.675c=1 {49348C9D-845B-4A29-93CA-FBFDCFC85C0D}
LoadLoc=611=1 {EE8AED92-6BC5-45D2-A64F-9881EEFF162A}
LoadPhase=611_C=1 {C1773A78-2039-4EAF-ADF9-02B9DED120BA}
59=611=1 {26896AEE-6BE6-4FC7-9940-80F074A4A3D7}
PosPt=Load.611=1 {D9AE6B22-E8CD-4B60-8101-13C352CD0E75}
LoadLoc=652=1 {56FB2D14-C05A-4298-8291-0583E600043F}
LoadPhase=652_A=1 {5BF09D56-15B9-40E4-A480-386CE09C87A2}
59=652=1 {47611395-F360-43E5-BA7D-D27D3B0F129B}
PosPt=Load.652=1 {CB8143D4-7119-4C83-9C9F-86E2205F5419}
LoadLoc=670a=1 {47207943-735C-4500-93D1-C59479E19ACD}
LoadPhase=670a_A=1 {D88EA2BB-00AD-4860-8322-3C7405C4015A}
59=670a=1 {FDCBBF48-F1A6-4C38-8553-A5D1FB9EEC9B}
PosPt=Load.670a=1 {8B48598B-D62A-4F65-ABB8-F754F383D0D5}
LoadLoc=670b=1 {B6879A7B-427B-4A7B-82FE-BB4281BE0295}
LoadPhase=670b_B=1 {92C28A1A-14CF-466D-89F5-F0C33D7EA2F0}
59=670b=1 {E10FFA58-B87C-4425-815D-79ED4DB73F58}
PosPt=Load.670b=1 {1E994181-A037-423A-BA64-1DC5BA15FD1D}
LoadLoc=670c=1 {705EE24B-79C5-400D-8470-3F86D14C0328}
LoadPhase=670c_C=1 {51ACE0F3-18D2-4DFC-8443-E899069D2DB5}
59=670c=1 {7140598B-D8E1-4459-86EB-99BF218FB320}
PosPt=Load.670c=1 {9BE5C4AB-4CBD-4295-B9A3-BAB7A0155709}
WirePos=WP_601_1=1 {7C4CB7EC-4ED3-497F-9106-B1B8364E4627}
WirePos=WP_601_2=1 {64D89EF8-60E7-486A-8BA8-27A2DDCB28C7}
WirePos=WP_601_3=1 {F0677038-7445-4F72-BB1C-FD9B406B2E1F}
WirePos=WP_601_4=1 {CBFEC50B-A94A-4B42-A83A-45FC25B11F9D}
WirePos=WP_602_1=1 {4646B654-2416-424E-B953-6D81AFA95358}
WirePos=WP_602_2=1 {FDE19188-F0F1-4EFC-B0F1-FFE9391ADE02}
WirePos=WP_602_3=1 {85BA2D54-B38B-458E-8C9C-CEB7D2BF8FD8}
WirePos=WP_602_4=1 {62281BF1-8A90-4E20-B4D3-F2C679E8C20C}
WirePos=WP_603_1=1 {CE66BE7F-0E19-422F-B7EA-FC9CB9CD7EAD}
WirePos=WP_603_2=1 {653FC442-0178-4505-92D4-EAA951EE7A88}
WirePos=WP_603_3=1 {F9025E70-6779-47ED-87F1-FE509E35E112}
WirePos=WP_604_1=1 {31C58062-102F-4ECD-83C4-173B161CD0B1}
WirePos=WP_604_2=1 {D11A0CFD-EC1B-479D-9506-7A2743B4A854}
WirePos=WP_604_3=1 {13FB5580-1F14-47A4-BAAE-57F125976634}
WirePos=WP_605_1=1 {A218D118-42F8-4A59-A522-D7ED32FCC658}
WirePos=WP_605_2=1 {1200EC01-794F-49C6-BA08-524FCBB5A990}
WirePos=WP_606_1=1 {EB553355-584D-43F2-8AD5-47B1A1F1B541}
WirePos=WP_606_2=1 {F4D126B4-B9FC-4B36-BEA1-D395A50F56EB}
WirePos=WP_606_3=1 {F6713734-1CA5-4465-BDE3-E68E90F2AD57}
WirePos=WP_607_1=1 {82490A3B-4EBD-409F-9C34-4A023C6A35C9}
WirePos=WP_607_2=1 {B46A84A9-7FC5-48F6-82E1-D22698CFFEDC}
WirePos=WP_500_1=2 {D88D33C8-C276-488E-B13E-59F00421B5B4}
WirePos=WP_500_2=2 {760EA087-A69E-48DD-AC4A-1921A3BEC897}
WirePos=WP_500_3=2 {6BEA055F-73CC-468B-8EF9-433E36829B27}
WirePos=WP_500_4=2 {BAA3AD91-8783-4FD1-87E3-0F54B015D28B}
WirePos=WP_505_1=2 {93FA8032-757A-49F2-98B6-3955FD27BBB0}
WirePos=WP_505_2=2 {D0C3B860-1EB8-4B9E-82E5-DB8017DF8D9D}
WirePos=WP_505_3=2 {8B4E8661-19EE-42CC-A92A-D3465E5D6137}
WirePos=WP_510_1=2 {E72A5E73-15F0-4FE5-BFFE-D4C9491106DA}
WirePos=WP_510_2=2 {BC5A7CC3-06EA-4812-AB72-915000CF392C}
NormAmps=OpLimI_112.4_149.9=1 {B407B216-E756-49A8-9D56-11F5FBE89BDD}
EmergAmps=OpLimI_112.4_149.9=1 {64D13ADD-0629-425D-9393-FBB974ECAB14}
NormAmps=OpLimI_56.3_75.0=1 {B797A607-0415-4118-B878-EC854A53619E}
EmergAmps=OpLimI_56.3_75.0=1 {A3BB647D-F4CE-407B-BEA9-7E62D2E45E28}
NormAmps=OpLimI_27.6_37.7=1 {6A63428E-BAD3-4878-A9E9-6BBB8F8A9043}
EmergAmps=OpLimI_27.6_37.7=1 {6BD1ABFC-1061-4B2B-B551-A0E0E34A765E}
NormAmps=OpLimI_76.3_104.1=1 {B8CAF383-510F-4EBC-AAA2-56808EE67C68}
EmergAmps=OpLimI_76.3_104.1=1 {91100503-9514-48C7-8A25-35CB564B363B}
NormAmps=OpLimI_763.6_1041.3=1 {1C0F08D4-78BD-4222-ABAB-7F7300428DE6}
EmergAmps=OpLimI_763.6_1041.3=1 {D6A4824A-A0EE-4223-A975-0C919B18956B}
NormAmps=OpLimI_730.0_1095.0=1 {29018C9C-EFF1-4CFC-813E-E85E20A33759}
EmergAmps=OpLimI_730.0_1095.0=1 {BAD947ED-C695-4C06-84BD-6BA1AFDA92E2}
NormAmps=OpLimI_340.0_510.0=1 {567D2F9F-FFD6-433A-85AD-64099C1A86C5}
EmergAmps=OpLimI_340.0_510.0=1 {AA590617-EECB-4687-A4D0-31FFC6FB978C}
NormAmps=OpLimI_230.0_345.0=1 {6BC1E752-587A-48A5-BD1D-9A9A00C95BE0}
EmergAmps=OpLimI_230.0_345.0=1 {19B47817-67AA-4D03-8731-C6B5D267FC57}
NormAmps=OpLimI_230.0_600.0=1 {F1A82131-5AAB-441C-B3FB-3E5ECB047EF2}
EmergAmps=OpLimI_230.0_600.0=1 {EE5F21F5-4580-44B2-89C7-D8DFD2C0D4F4}
NormAmps=OpLimI_260.0_390.0=1 {788958B8-4BD2-468A-96E9-59FCCBC39F6B}
EmergAmps=OpLimI_260.0_390.0=1 {E7418D3C-74A5-46E4-9557-BCA71F8B47CD}
NormAmps=OpLimI_165.0_247.5=1 {213F2CB8-C013-4C5D-ABA1-8025C8775C7C}
EmergAmps=OpLimI_165.0_247.5=1 {E59DAC43-C79F-4923-86D1-F77F67E19426}
NormAmps=OpLimI_400.0_600.0=1 {68DE2492-56BA-4C09-ACD9-556BAE93746D}
EmergAmps=OpLimI_400.0_600.0=1 {A521871F-3F0D-4D7F-BE58-871182D9C3C7}
XfMesh=sub=2 {C3197CED-A54F-46E4-8855-2732D58ADE69}
XfMesh=sub=3 {9D2B076B-66F3-46D4-B03E-F4E895CCCC75}
XfMesh=xfm1=2 {5A1C372F-2C54-445F-B56E-E1DE6546553A}
XfMesh=xfm1=3 {3D01173E-B472-4FFA-9A17-128163EB51A8}
XfMesh=reg1=2 {5D4D1FA4-421B-4646-A207-07727B141AFA}
XfMesh=reg1=3 {C5A12735-1173-4CA4-8483-5FA13AF13742}
XfMesh=reg2=2 {3C9EBACE-E964-48AA-9B4B-8FA340397281}
XfMesh=reg2=3 {5D5EC635-CB7E-46E7-84C5-233CEBEC485E}
XfMesh=reg3=2 {D9DBCD61-B46F-4EA6-8E17-C2C2C8C8BF1E}
XfMesh=reg3=3 {67B27D48-81EF-456E-86E1-43B389D18F05}
